chance_id,business_unit,org_country,pricelist,final_status,final_amount,days_active,cluster,cluster_label,forecast_prob_won,pred_total_days,pred_days_remaining,expected_revenue,pipeline_at_risk
a40658477dff1bd1,a66943a59bca7bfd,75c64824a2a4e380,28c9c64e5918b06e,Open,1.170863568534039,0.0,1,C1: Active Pipeline,,88.59902,88.5990219116211,,
a410b79cf293ac23,ac2a5ee6878db2c2,6b7e1f5b521de19b,d4f34f97b6d22a81,Open,13480.192401032918,39.16724537037037,0,C0: High-Win,0.69,59.384968,20.21772243358471,9301.332756712713,4178.859644320205
a4119f9dc49e34e5,1cdd086394501fee,d80899b211b3d52f,,Open,8290.869253090716,0.0,3,C3: Large Open,,101.77049,101.77049255371094,,
a4219423c4c68f23,1cdd086394501fee,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Open,64694.75147071362,651.0164930555555,3,C3: Large Open,0.088,329.0643,0.0,5693.138129422799,59001.613341290824
a4234651639fa8c4,6befd145c261113d,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Open,1.170863568534039,0.0,1,C1: Active Pipeline,,52.939392,52.93939208984375,,
a4238547df789919,1cdd086394501fee,6b7e1f5b521de19b,,Open,19325.975207809148,1.1574074074074072e-05,3,C3: Large Open,,49.526104,49.5260923993146,,
a42d31cb9246c04b,4928d3c96935fb3f,6b7e1f5b521de19b,,Open,36051.6631606101,1.1574074074074072e-05,3,C3: Large Open,,211.12973,211.1297186505353,,
a438d9814ddeec12,9387d1da6d5967e1,6b7e1f5b521de19b,,Open,2.4198904513070483,1.1574074074074072e-05,1,C1: Active Pipeline,,104.01142,104.0114096295392,,
a45cdcb8a84242be,6befd145c261113d,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Open,384.10169546712086,1.1574074074074072e-05,1,C1: Active Pipeline,,26.45473,26.454717506126123,,
a45fcbcf3614d99b,ac2a5ee6878db2c2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Open,1060.8669669680155,0.0002199074074074,1,C1: Active Pipeline,,29.808817,29.808597002382633,,
a4739d98957008c3,9387d1da6d5967e1,6b7e1f5b521de19b,,Open,1.170863568534039,0.0,1,C1: Active Pipeline,,161.33035,161.33035278320312,,
a4813abe6c6793e1,1cdd086394501fee,6b7e1f5b521de19b,,Open,23760.05329050496,41.64736111111111,3,C3: Large Open,0.48,75.57541,33.928047824435765,11404.82557944238,12355.227711062578
