responsible,n_deals,actual_wr,expected_wr,total_amount_M,outperformance
8ad47278d9f5d9c8,197,0.41116751269035534,0.41111767,23.337029189199082,4.983977012829044e-05
634dc00dbc390bc0,73,0.5616438356164384,0.5615983,2.600708029881793,4.553468260048987e-05
fc3d5b986d6de0b6,42,0.5952380952380952,0.5951961,5.486726284529023,4.1967346554705465e-05
0cb5c522cd0ba7a4,18,1.0,0.99996346,0.02443131697502879,3.653764724731445e-05
1725639dfbf5eff6,622,0.7202572347266881,0.72022146,304.339160644003,3.577486111805417e-05
1482b05113ad67cf,239,0.5899581589958159,0.58992565,13.796849613834775,3.251221389455328e-05
72c697bbecb6b083,973,0.6742034943473793,0.6741711,118.5258418188805,3.2404221341653106e-05
63be3517fc2e9f5e,1460,0.4952054794520548,0.49517322,1.0300574999143781,3.226358596591927e-05
780ea7dfa8c96560,78,0.5897435897435898,0.58971363,49.776035307747556,2.9956683134435558e-05
48084acd5c7780e3,459,0.7668845315904139,0.76685566,170.47573183872146,2.8874489736430142e-05
30ed1b51efb9ccba,111,0.7117117117117117,0.7116842,12.61827374140592,2.748472196556495e-05
dd01b220db104e2d,30,0.5666666666666667,0.56664,0.5674874289249414,2.6647249857569832e-05
dc6044f59e4231e1,114,0.6052631578947368,0.6052377,18.863935383398886,2.5435497886250324e-05
525d39c7687a01be,1092,0.5347985347985348,0.53477365,72.06164419101977,2.488701334801835e-05
f324bd92890b7814,137,0.6715328467153284,0.6715099,1.9288402769312276,2.292516457769178e-05
f455ed364d29b6d0,1355,0.5830258302583026,0.58300406,2.029277906898995,2.1772850923418297e-05
bff09a29b948afd9,372,0.5806451612903226,0.58062345,15.174147010491078,2.1713395272571212e-05
2adb589c16f70dd0,120,0.55,0.54998,3.648260698897092,2.001523971562058e-05
aa2af03cd324b895,87,0.7586206896551724,0.75860155,8.05091519167465,1.9143367635754416e-05
abc73a1c9ad59850,518,0.7162162162162162,0.7161994,71.69584678233717,1.6818175444743844e-05
6133786a33bba91f,57,0.42105263157894735,0.42103603,4.244766324706191,1.659675648335579e-05
12c2e95fb1d03a4f,29,1.0,0.9999837,1.7116105881467087,1.627206802368164e-05
728f74a7b780fd8b,32,0.96875,0.9687339,6.25784905503088,1.609325408935547e-05
8848f5997309ccab,1448,0.7596685082872928,0.75965244,307.50029461678423,1.6072507721287543e-05
831ae51da38a0629,1117,0.594449418084154,0.5944343,1.252087134750341,1.5097157487709012e-05
7d727470db806e03,758,0.6807387862796834,0.6807246,84.75025371816392,1.4165460591630818e-05
4f0e40cb4229b152,457,0.5886214442013129,0.58860743,131.47620031310836,1.4013743244056798e-05
ea35e9b9096b2d90,447,0.5906040268456376,0.590592,47.1223731767067,1.2000135127365752e-05
7ff0c437d12a403a,15,0.3333333333333333,0.3333228,33.70274946657618,1.0540088017763072e-05
610b4621c39073b4,873,0.5532646048109966,0.55325407,0.34328175955415907,1.0536913199965525e-05
57d207b3b6b9e146,398,0.7085427135678392,0.70853305,100.82020383246592,9.664938078413066e-06
67ba63604e91310a,1142,0.5691768826619965,0.5691676,38.48979533569405,9.268678842211386e-06
842d38f2d4ca9bd3,525,0.6971428571428572,0.6971336,112.6599226289518,9.256431034665447e-06
447bd84fd4e3c66f,55,0.9636363636363636,0.9636282,0.1293726670003243,8.190761912940658e-06
37c842f99a950063,80,0.65,0.6499918,4.755710288448184,8.189678192160876e-06
07ecc3adf4d80bef,89,0.7640449438202247,0.76403767,19.28667178053723,7.275115238125629e-06
9bae48ed3bfb4d18,166,0.6204819277108434,0.6204753,8.448880171372583,6.635505032881461e-06
655fe305bb426462,145,0.5310344827586206,0.5310281,55.61252882190613,6.390851119419949e-06
f8b6f18f457b5118,56,0.5535714285714286,0.55356747,8.747980357310537,3.959451402968384e-06
8a4c2f62f9eb097e,480,0.6104166666666667,0.6104138,26.418922779249684,2.8769175212106646e-06
4916640f90300251,940,0.7606382978723404,0.76063585,104.93044046692187,2.44505861968225e-06
09f4c62972617d54,505,0.7386138613861386,0.7386137,15.070695788290665,1.3667758147484221e-07
50c0f05d24b327c8,48,0.5625,0.5625022,21.61837280498042,-2.205371856689453e-06
f5e6ba907cbce1d3,45,0.4222222222222222,0.42222598,6.314163068985023,-3.7597285376667067e-06
46a6c3c8d45f437e,105,0.8476190476190476,0.8476248,0.13789209681040612,-5.731128510988448e-06
