org_id,n_deals,n_won,win_rate,avg_deal_value,total_revenue,org_country,pricelist,deal_rate_yr,clv_estimate
b7c70832de212a80,123,81,0.6585365853658537,272646.99846736615,7888552.412630668,38080774be85927f,28c9c64e5918b06e,20.5,7361468.958618886
795ae84926411a37,58,36,0.6206896551724138,559310.6280356339,25419088.38670845,6b7e1f5b521de19b,6f9a9c5f2856c8b3,9.666666666666666,6711727.536427607
8094b7901a614f85,95,80,0.8421052631578947,251123.36749191754,19484266.585554034,6b7e1f5b521de19b,6f9a9c5f2856c8b3,15.833333333333334,6696623.133117801
09d7831fd1a1b5e6,53,31,0.5849056603773585,637527.5771892327,27384658.573039457,6b7e1f5b521de19b,,8.833333333333334,6587784.964288738
11a8c3a7a61775f5,43,17,0.3953488372093023,1114558.9228833343,20287407.43358544,7545e34e09ae9cad,28c9c64e5918b06e,7.166666666666667,6315833.896338894
fbcb228393824a8b,59,39,0.6610169491525424,466001.07831976766,25140425.89245535,6b7e1f5b521de19b,,9.833333333333334,6058014.018156979
a0b8a322be765c84,222,165,0.7432432432432432,106724.42656408656,15431373.90963677,6b7e1f5b521de19b,d4f34f97b6d22a81,37.0,5869843.461024761
18822575a05491c1,193,139,0.7202072538860104,121374.73110256073,14557181.968314469,6b7e1f5b521de19b,6f9a9c5f2856c8b3,32.166666666666664,5623695.874418647
2ebf03f77355e58b,68,35,0.5147058823529411,477173.4950683375,19379088.329598136,674ec33189ed753c,,11.333333333333334,5567024.109130603
b708b96e366e2335,74,42,0.5675675675675675,356438.41208028735,18275109.316646483,6b7e1f5b521de19b,6f9a9c5f2856c8b3,12.333333333333334,4990137.769124023
89d5e4a5f199fd90,5,1,0.2,14548563.665715218,1711597.3344897556,a0d28553c7be77f0,,0.8333333333333334,4849521.221905073
a662b2878f279c00,63,42,0.6666666666666666,332344.26794672385,7675425.114870129,fc3655a0b667e091,28c9c64e5918b06e,10.5,4652819.751254134
413332535d58d81a,102,76,0.7450980392156863,178540.17186221326,7191625.037248797,6b7e1f5b521de19b,6f9a9c5f2856c8b3,17.0,4523017.687176069
21fd71be47245ef0,94,73,0.776595744680851,179769.2657836922,9427558.028004732,75c64824a2a4e380,28c9c64e5918b06e,15.666666666666666,4374385.467403176
33317d13729da76b,73,26,0.3561643835616438,484427.64797278744,11557315.822135357,674ec33189ed753c,,12.166666666666666,4198372.949097491
572c6f6c0f08f49e,131,103,0.7862595419847328,121781.69733886934,5803169.689107839,6b7e1f5b521de19b,6f9a9c5f2856c8b3,21.833333333333332,4181171.6086345143
12956790e5a93e6a,229,159,0.6943231441048034,78587.09444227636,13627600.966654003,6b7e1f5b521de19b,6f9a9c5f2856c8b3,38.166666666666664,4165116.005440647
a200ebe165ea82f1,306,241,0.7875816993464052,49758.19017172219,13598256.114512589,6b7e1f5b521de19b,6f9a9c5f2856c8b3,51.0,3997241.2771283495
697b48578cd4f32f,60,29,0.48333333333333334,399667.69841847563,16045914.945499208,062b9e5a52eb6d8e,28c9c64e5918b06e,10.0,3863454.4180452647
75be08928dce3e23,123,74,0.6016260162601627,147061.48768622734,7492459.043578235,6b7e1f5b521de19b,6f9a9c5f2856c8b3,20.5,3627516.696260275
db1d1facfbc70a5f,53,28,0.5283018867924528,367808.938364417,9282906.351320796,6b7e1f5b521de19b,6f9a9c5f2856c8b3,8.833333333333334,3432883.424734559
5dde3bde4f1d32c2,62,46,0.7419354838709677,220667.54045140164,6423999.598241457,75c64824a2a4e380,28c9c64e5918b06e,10.333333333333334,3383568.953588159
4cc17c231e1b1acd,96,79,0.8229166666666666,125843.83746150915,11907228.37894433,6b7e1f5b521de19b,6f9a9c5f2856c8b3,16.0,3313887.719819741
19f9d8bdb3b00fee,10,2,0.2,4922250.102321407,345648.9862661407,16450d61eee679f5,d4f34f97b6d22a81,1.6666666666666667,3281500.068214271
892f4de8fbfb2d3a,3,2,0.6666666666666666,4656865.503236962,605752.3101246804,6b7e1f5b521de19b,6f9a9c5f2856c8b3,0.5,3104577.002157974
93fe5d44bcc0fc11,7,3,0.42857142857142855,3077722.6260344544,48017.34471012428,95a23e7fbcc5841e,,1.1666666666666667,3077722.6260344544
07bf63e91c7ad59d,81,65,0.8024691358024691,135713.1836911766,8165763.866822521,6b7e1f5b521de19b,6f9a9c5f2856c8b3,13.5,2940452.313308826
2b2d2551812baae8,53,33,0.6226415094339622,264091.8499847256,12771384.658578435,6b7e1f5b521de19b,,8.833333333333334,2905010.3498319816
3b1d635c22d0c668,270,243,0.9,33566.455322168746,2226228.559541245,6b7e1f5b521de19b,d4f34f97b6d22a81,45.0,2718882.8810956688
79e5f5c57add5bec,96,19,0.19791666666666666,426834.1349495291,598001.8144379468,6b7e1f5b521de19b,6f9a9c5f2856c8b3,16.0,2703282.8546803505
6e060825b8e70d08,7,3,0.42857142857142855,2597007.25487656,264898.3926350949,75c64824a2a4e380,d4f34f97b6d22a81,1.1666666666666667,2597007.25487656
a549ba52e908a4ce,159,118,0.7421383647798742,65712.17975369723,8259121.748961046,6b7e1f5b521de19b,6f9a9c5f2856c8b3,26.5,2584679.0703120907
