chance_id,shap_rank,feature,shap_value,feature_val
0148e465addc6420,3,push_ratio,-0.63235116,0.8795180722891566
0148e465addc6420,4,total_days_pushed,-0.552053,730.0
0148e465addc6420,5,update_intensity,-0.44856206,0.044313146233382575
014df8fc397fef8d,1,probability,-5.1925874,10.0
014df8fc397fef8d,2,prob_x_closing_rate,-1.3591696,4.252336448598131
014df8fc397fef8d,3,stage_x_prob,-0.9476176,30.0
014df8fc397fef8d,4,customer_win_ratio,-0.52988553,0.0
014df8fc397fef8d,5,push_ratio,0.503013,0.0
0151caf751624411,1,prob_x_closing_rate,3.0636373,48.36614173228347
0151caf751624411,2,stage_x_prob,1.8947338,540.0
0151caf751624411,3,push_ratio,0.6449285,0.0
0151caf751624411,4,probability,-0.4035639,90.0
0151caf751624411,5,prob_volatility,-0.36454946,0.0
015ed8eacd574ff6,1,probability,-5.239801,10.0
015ed8eacd574ff6,2,stage_x_prob,-1.0030434,30.0
015ed8eacd574ff6,3,push_ratio,0.53845596,0.0
015ed8eacd574ff6,4,prob_volatility,-0.4446914,0.0
015ed8eacd574ff6,5,prob_x_closing_rate,-0.31251046,5.715539947322212
017062c1d7d96fef,1,prob_x_closing_rate,2.4781265,61.111111111111114
017062c1d7d96fef,2,stage_x_prob,1.0256796,270.0
017062c1d7d96fef,3,push_ratio,-0.91130865,0.9439421338155516
017062c1d7d96fef,4,probability,-0.8551669,90.0
017062c1d7d96fef,5,log_amount,0.57983166,12.263812808863047
018634d792cf9f2e,1,probability,-5.0853276,25.0
018634d792cf9f2e,2,stage_x_prob,-1.0147474,25.0
018634d792cf9f2e,3,prob_x_closing_rate,0.9988163,16.83778234086242
018634d792cf9f2e,4,push_ratio,0.6020667,0.0
018634d792cf9f2e,5,prob_volatility,-0.45307133,0.0
018c7eea8a1f3f67,1,probability,-4.8501377,10.0
018c7eea8a1f3f67,2,stage_x_prob,-0.9288432,30.0
018c7eea8a1f3f67,3,prob_x_closing_rate,0.72008353,6.834437086092715
018c7eea8a1f3f67,4,push_ratio,0.5718941,0.0
018c7eea8a1f3f67,5,log_amount,0.41222972,16.027776417650223
019b79cf05783dd6,1,probability,-5.0062222,10.0
019b79cf05783dd6,2,stage_x_prob,-0.8582418,30.0
019b79cf05783dd6,3,prob_x_closing_rate,-0.5698198,5.850340136054422
019b79cf05783dd6,4,log_amount,0.41033864,14.967168163020338
019b79cf05783dd6,5,total_days_pushed,-0.41011167,1278.0
01a1531aa45cd621,1,probability,-4.3486757,10.0
01a1531aa45cd621,2,customer_win_ratio,2.1340024,1.0
01a1531aa45cd621,3,prob_x_closing_rate,1.1175386,8.050632911392405
01a1531aa45cd621,4,stage_x_prob,-0.8212088,30.0
01a1531aa45cd621,5,push_ratio,0.67231303,0.0
01ad8b4e3734244d,1,probability,-5.445182,5.0
01ad8b4e3734244d,2,prob_x_closing_rate,-2.302364,2.4675324675324677
01ad8b4e3734244d,3,stage_x_prob,-1.2161556,15.0
01ad8b4e3734244d,4,customer_win_ratio,-0.36856252,0.5
01ad8b4e3734244d,5,prob_volatility,-0.3285937,7.0083983233563085
01b50064c9ac61d4,1,probability,-4.954317,50.0
01b50064c9ac61d4,2,prob_x_closing_rate,1.7258706,36.03531300160513
01b50064c9ac61d4,3,stage_x_prob,1.4129994,200.0
01b50064c9ac61d4,4,update_intensity,0.5776554,10.0
01b50064c9ac61d4,5,push_ratio,-0.56810623,1.3856655290102389
01b66362be913fb5,1,probability,-4.15941,60.0
01b66362be913fb5,2,prob_x_closing_rate,3.010518,60.0
01b66362be913fb5,3,rep_closing_rate,0.9145066,1.0
01b66362be913fb5,4,push_ratio,0.7133959,0.0
01b66362be913fb5,5,stage_x_prob,0.5875806,180.0
01d5306772786690,1,probability,-4.625839,50.0
01d5306772786690,2,prob_x_closing_rate,0.93788904,26.691042047531994
01d5306772786690,3,stage_x_prob,0.7212493,150.0
01d5306772786690,4,customer_win_ratio,-0.6628445,0.23529411764705882
01d5306772786690,5,prob_volatility,-0.5802285,0.0
01e648f75557b90c,1,probability,-4.6352577,30.0
01e648f75557b90c,2,prob_x_closing_rate,0.899062,20.503311258278146
01e648f75557b90c,3,push_ratio,0.72862434,0.0
01e648f75557b90c,4,stage_x_prob,0.6974025,120.0
01e648f75557b90c,5,update_intensity,0.59200776,10.0
01ee9d1503620002,1,probability,-4.764374,40.0
01ee9d1503620002,2,prob_x_closing_rate,0.9219969,23.33825701624815
01ee9d1503620002,3,stage_x_prob,0.7100013,160.0
01ee9d1503620002,4,push_ratio,0.6553218,0.0
01ee9d1503620002,5,update_intensity,0.5885472,10.0
01f27197cd7e304c,1,probability,-4.7352304,10.0
01f27197cd7e304c,2,prob_x_closing_rate,1.6472973,8.287671232876711
01f27197cd7e304c,3,stage_x_prob,-0.83410877,30.0
01f27197cd7e304c,4,saledate_delta,0.6783913,0.0
01f27197cd7e304c,5,push_ratio,0.66712594,0.0
01f7b12471766591,1,probability,-4.7106757,30.0
01f7b12471766591,2,prob_x_closing_rate,0.8994679,20.503311258278146
01f7b12471766591,3,stage_x_prob,0.6916616,90.0
01f7b12471766591,4,push_ratio,0.65339714,0.0
01f7b12471766591,5,update_intensity,0.5823063,10.0
01fee37a4ba63472,1,probability,-5.325536,10.0
01fee37a4ba63472,2,stage_x_prob,-0.95922834,30.0
01fee37a4ba63472,3,prob_x_closing_rate,0.42585132,7.707423580786026
01fee37a4ba63472,4,update_intensity,-0.37089303,0.08928571428571427
01fee37a4ba63472,5,prob_volatility,-0.36118326,0.0
