chance_id,business_unit,org_country,pricelist,org_business_en,org_category_en,final_status,final_amount,final_probability,days_active,cluster,cluster_label
652810f46fd6e237,9387d1da6d5967e1,6b7e1f5b521de19b,d4f34f97b6d22a81,1e71b872ea2c50f7,Customer,Won,219.96374454218332,100,0.0021759259259259258,0,C0: High-Win
6528a64424c7e3e8,6befd145c261113d,6b7e1f5b521de19b,6f9a9c5f2856c8b3,af7126f372a9b494,Customer,Won,19623.72126185764,100,45.963425925925925,0,C0: High-Win
652a7394472baed5,a66943a59bca7bfd,6b7e1f5b521de19b,28c9c64e5918b06e,aca3de2330282e2f,Customer,Lost,581439.8688097276,0,194.12472222222223,4,C4: Mid-Range
652a9da6ee17c81a,ac2a5ee6878db2c2,6b7e1f5b521de19b,d4f34f97b6d22a81,e7c72069ea1285c7,Customer,Won,22008.55088419048,100,65.89222222222222,0,C0: High-Win
652c2dfd0add1166,1cdd086394501fee,6b7e1f5b521de19b,6f9a9c5f2856c8b3,af7126f372a9b494,Customer,Lost,18.049680280222766,0,48.136875,1,C1: Active Pipeline
652c593a359286e7,ef9b14cf5a29c54a,6b7e1f5b521de19b,,3b290648e0762a8e,Customer,Lost,5083.8994500666495,0,391.7571527777778,3,C3: Large Open
652cb34dfd6c0ff9,6befd145c261113d,6b7e1f5b521de19b,6f9a9c5f2856c8b3,cafb13c24e171491,Customer,Lost,98.49392076768089,0,93.08434027777778,1,C1: Active Pipeline
652e4fcda02c56ca,6befd145c261113d,6b7e1f5b521de19b,6f9a9c5f2856c8b3,2f2113180ffe9b1c,Customer,Open,2016.9694227320904,40,3.472222222222222e-05,1,C1: Active Pipeline
652f38d78f3f70f7,4928d3c96935fb3f,6b7e1f5b521de19b,,4ccfab971e72260e,Customer,Won,69212.38729770125,100,36.02956018518518,0,C0: High-Win
65321205fabaae2b,6befd145c261113d,6b7e1f5b521de19b,6f9a9c5f2856c8b3,,Prospective customer,Lost,10065.192201816126,0,28.160104166666667,3,C3: Large Open
65323f1335ba1f8b,a66943a59bca7bfd,a0d28553c7be77f0,28c9c64e5918b06e,24077eefce35726f,Customer,Lost,19368.29817486694,0,41.64655092592593,3,C3: Large Open
6533523577225dbd,6befd145c261113d,6b7e1f5b521de19b,6f9a9c5f2856c8b3,b1846e9ec48c0e17,Customer,Won,3391.863497755878,100,35.08585648148148,0,C0: High-Win
6535b194ca46e578,6befd145c261113d,6b7e1f5b521de19b,6f9a9c5f2856c8b3,af7126f372a9b494,Customer,Won,156049.26438130878,100,56.16736111111111,0,C0: High-Win
65391363c091b398,6befd145c261113d,6b7e1f5b521de19b,6f9a9c5f2856c8b3,,Customer,Won,539.0873241127068,100,38.921273148148146,0,C0: High-Win
653bd5493084c51a,ac2a5ee6878db2c2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,74c29cb5b6c363e4,Customer,Won,4001.8218938220325,100,28.174444444444443,0,C0: High-Win
653c985f30b73739,ac2a5ee6878db2c2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,74c29cb5b6c363e4,Customer,Won,1100.311736085542,100,98.0215625,0,C0: High-Win
